"R2m","R2c","p","n_0","n_1","n_all","phase","current_variable","current_answer_binary"
0.323,0.64,0,1486,2384,3870,"detect01","avrec_rms.bin.before.rt","hit_0_miss_1"
0.19,0.406,0,1336,2200,3536,"detect01","GS1.trace.rms.bin.before.rt","hit_0_miss_1"
0.113,0.537,0.056,926,1458,2384,"detect01","SGS1.trace.rms.bin.before.rt","hit_0_miss_1"
0.242,0.512,0,1368,2200,3568,"detect01","Va.trace.rms.bin.before.rt","hit_0_miss_1"
0.258,0.569,0,1332,2164,3496,"detect01","Vb.trace.rms.bin.before.rt","hit_0_miss_1"
0.2,0.396,0,1230,1919,3149,"detect01","VI.trace.rms.bin.before.rt","hit_0_miss_1"
0.179,0.388,0,1446,1316,2762,"discr01","avrec_rms.bin.before.rt","hit_0_miss_1"
0.188,0.361,0.001,1225,1185,2410,"discr01","GS1.trace.rms.bin.before.rt","hit_0_miss_1"
0.144,0.24,0,544,673,1217,"discr01","SGS1.trace.rms.bin.before.rt","hit_0_miss_1"
0.086,0.214,0,1282,1233,2515,"discr01","Va.trace.rms.bin.before.rt","hit_0_miss_1"
0.049,0.152,0.001,1303,1236,2539,"discr01","Vb.trace.rms.bin.before.rt","hit_0_miss_1"
0.033,0.212,0.118,1101,1075,2176,"discr01","VI.trace.rms.bin.before.rt","hit_0_miss_1"
0.275,0.439,0,278,2610,2888,"discr01","avrec_rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.17,0.318,0,218,2447,2665,"discr01","GS1.trace.rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.164,0.465,0,96,1340,1436,"discr01","SGS1.trace.rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.118,0.234,0,235,2504,2739,"discr01","Va.trace.rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.105,0.263,0,235,2519,2754,"discr01","Vb.trace.rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.096,0.239,0,199,2153,2352,"discr01","VI.trace.rms.bin.before.rt","false_alarm_below_6_0_cr_1"
0.452,0.744,0,1446,2610,4056,"discr01","avrec_rms.bin.before.rt","hit_0_cr_1"
0.435,0.573,0,1225,2447,3672,"discr01","GS1.trace.rms.bin.before.rt","hit_0_cr_1"
0.517,0.607,0,544,1340,1884,"discr01","SGS1.trace.rms.bin.before.rt","hit_0_cr_1"
0.38,0.509,0,1282,2504,3786,"discr01","Va.trace.rms.bin.before.rt","hit_0_cr_1"
0.378,0.479,0,1303,2519,3822,"discr01","Vb.trace.rms.bin.before.rt","hit_0_cr_1"
0.193,0.287,0,1101,2153,3254,"discr01","VI.trace.rms.bin.before.rt","hit_0_cr_1"
0.04,0.218,0.104,278,1316,1594,"discr01","avrec_rms.bin.before.rt","false_alarm_below_6_0_miss_1"
0.049,0.202,0.047,218,1185,1403,"discr01","GS1.trace.rms.bin.before.rt","false_alarm_below_6_0_miss_1"
0.028,0.184,0.004,96,673,769,"discr01","SGS1.trace.rms.bin.before.rt","false_alarm_below_6_0_miss_1"
0.017,0.162,0.109,235,1233,1468,"discr01","Va.trace.rms.bin.before.rt","false_alarm_below_6_0_miss_1"
0,0.21,0.98,235,1236,1471,"discr01","Vb.trace.rms.bin.before.rt","false_alarm_below_6_0_miss_1"
0.015,0.178,0.321,199,1075,1274,"discr01","VI.trace.rms.bin.before.rt","false_alarm_below_6_0_miss_1"
